Opportunity ID,MCC_DESC,Industry_Corrected,Contract Start Date,Purchased Amount,Written Off,Date Written Off,Amount at Write Off
0062X00000vOtifQAC,EXPRESS PAYMNT SRVCE FAST FOOD,Bar / Pub / Restaurant,2018-08-20,1474.0,0,,0.0
0062X00000vOtxpQAC,AUTOMOTIVE SERVICE SHOPS,Other Services,2018-08-21,12596.0,0,,0.0
0062X00000vOuHVQA0,WOMENS READY TO WEAR STORES,Car Sales / Garage Services,2018-10-11,2700.0,0,,0.0
0062X00000vOvTmQAK,DISCOUNT STORES,Other Services,2018-08-22,1310.0,0,,0.0
0062X00000vOylDQAS,FLORISTS,Other Retailer,2018-08-22,3192.0,0,,0.0
0062X00000vOzmHQAS,BARBER & BEAUTY SHOPS,Healthcare,2018-08-22,1350.0,0,,0.0
0062X00000vPAkKQAW,WOMENS READY TO WEAR STORES,Healthcare,2018-08-29,2480.0,0,,0.0
0062X00000vPcUyQAK,BARBER & BEAUTY SHOPS,Hair & Beauty,2018-08-31,2546.0,0,,0.0
0062X00000vPDIBQA4,BARBER & BEAUTY SHOPS,Hair & Beauty,2018-08-28,2600.0,0,,0.0
0062X00000vPH8tQAG,BARBER & BEAUTY SHOPS,Other Retailer,2018-08-29,2700.0,0,,0.0
0062X00000vPIxRQAW,BARBER & BEAUTY SHOPS,Hair & Beauty,2018-09-06,6528.0,0,,0.0
0062X00000vPJyBQAW,CHIROPRACTORS,Healthcare,2018-08-29,2010.0,0,,0.0
0062X00000vPM3YQAW,HARDWARE STORES,Other Services,2018-08-29,7980.0,0,,0.0
0062X00000vPNk9QAG,BARBER & BEAUTY SHOPS,Hair & Beauty,2018-08-29,5400.0,0,,0.0
0062X00000vPO0WQAW,AUTOMOTIVE SERVICE SHOPS,Car Sales / Garage Services,2018-08-28,15295.0,0,,0.0
0062X00000vPWp9QAG,DRINKING PLACES (ALCOHOLIC),Other Services,2018-09-03,2667.0,0,,0.0
0062X00000vPwWzQAK,GIFT CARD NOVELTY & SOUVENIR,Other Retailer,2018-09-10,10720.0,0,,0.0
0062X00000vPzJsQAK,TAXICABS & LIMOUSINES,Other Services,2018-09-06,2144.0,0,,0.0
0062X00000vQ05DQAS,DRINKING PLACES (ALCOHOLIC),Other Services,2018-09-18,11200.0,0,,0.0
0062X00000vQ1QgQAK,TAXICABS & LIMOUSINES,Other Services,2018-09-07,1340.0,0,,0.0
0062X00000vQ2nMQAS,EXPRESS PAYMNT SRVCE FAST FOOD,Other Services,2018-09-07,2278.0,1,2018-12-27,1459.75
0062X00000vQeX1QAK,AUTOMOTIVE SERVICE SHOPS,Car Sales / Garage Services,2018-09-14,3537.0,0,,0.0
0062X00000vQkoeQAC,FAMILY CLOTHING STORES,Other Retailer,2018-09-17,2560.0,0,,0.0
0062X00000vQlQdQAK,GENERAL CONTRACTORS,Trade Contractor,2018-10-04,14490.0,0,,0.0
0062X00000vQOMHQA4,BARBER & BEAUTY SHOPS,Hair & Beauty,2018-09-11,2375.0,0,,0.0
0062X00000vQp1VQAS,USED MERCHANDISE STORES SECOND,Other Retailer,2018-09-18,1320.0,0,,0.0
0062X00000vQpBpQAK,DRINKING PLACES (ALCOHOLIC),Other Services,2018-10-11,16616.0,0,,0.0
0062X00000vQRD2QAO,EXPRESS PAYMNT SRVCE FAST FOOD,Bar / Pub / Restaurant,2018-09-12,2667.0,0,,0.0
0062X00000vQStiQAG,BARBER & BEAUTY SHOPS,Other Services,2018-10-17,54500.0,0,,0.0
0062X00000vQwl5QAC,GROCERY STORES SUPERMARKETS,Food / Drink Shop,2018-09-19,11600.0,0,,0.0
0062X00000vQXH4QAO,EXPRESS PAYMNT SRVCE FAST FOOD,Food / Drink Shop,2018-09-17,3100.0,0,,0.0
0062X00000vQyPHQA0,DRINKING PLACES (ALCOHOLIC),Food / Drink Shop,2018-09-18,4800.0,0,,0.0
0062X00000vQz0rQAC,RESTAURANTS (EXCEPT EXPRESS),Bar / Pub / Restaurant,2018-09-26,1620.0,1,2018-12-18,949.25
0062X00000vR1x7QAC,AUTOMOTIVE SERVICE SHOPS,Car Sales / Garage Services,2018-09-20,10000.0,0,,0.0
0062X00000vR4XOQA0,HOTELS MOTELS & RESORTS-LODGIN,Other Services,2018-09-21,18300.0,0,,0.0
0062X00000vR53eQAC,PET SHOPS PET FOODS & SUPPLIES,Other Services,2018-09-21,5360.0,0,,0.0
0062X00000vW0EAQA0,RESTAURANTS (EXCEPT EXPRESS),Other Services,2018-06-21,3591.0,0,,0.0
0062X00000vWFiiQAG,RESTAURANTS (EXCEPT EXPRESS),Food / Drink Shop,2018-06-25,31000.0,0,,0.0
0062X00000vWLKGQA4,DENTISTS ORTHODONTISTS,Healthcare,2018-06-27,45200.0,0,,0.0
0062X00000vWttmQAC,FLORISTS,Other Retailer,2018-07-03,9450.0,0,,0.0
0062X00000vWwbwQAC,RESTAURANTS (EXCEPT EXPRESS),Other Services,2018-07-04,3484.0,1,2018-08-02,3484.0
0062X00000vWxiAQAS,MENS & WOMENS CLOTHING STORES,Fashion Retail,2018-07-17,5360.0,0,,0.0
0062X00000vWyKOQA0,DRINKING PLACES (ALCOHOLIC),Bar / Pub / Restaurant,2018-07-09,11792.0,1,2018-10-10,11292.0
0062X00000vX5sjQAC,BARBER & BEAUTY SHOPS,Healthcare,2018-07-09,45600.0,0,,0.0
0062X00000vXed1QAC,BARBER & BEAUTY SHOPS,Hotel / B&B,2018-07-13,3990.0,0,,0.0
0062X00000vXeiVQAS,EXPRESS PAYMNT SRVCE FAST FOOD,Other Services,2018-07-25,13400.0,0,,0.0
0062X00000vXNlQQAW,MISCELLANEOUS PERSONAL SERVICE,Other Services,2018-07-12,3350.0,0,,0.0
0062X00000vXOc9QAG,MENS & BOYS CLOTHING & ACSSORS,Other Retailer,2018-07-27,84750.0,0,,0.0
0062X00000vXujDQAS,CANDY NUT & COMFECTIONERY STRS,Food / Drink Shop,2018-07-17,3752.0,0,,0.0
0062X00000vXyRRQA0,AUTOMOTIVE PARTS ACCESSORIES,Car Sales / Garage Services,2018-07-23,58000.0,0,,0.0
0062X00000vY8PgQAK,GIFT CARD NOVELTY & SOUVENIR,Other Retailer,2018-08-09,3990.0,0,,0.0
